Time,Setpoint,Measurement,Output,Error,DeltaOutput
0.000,10.000,-0.033,20.000,10.033,20.000
0.010,10.000,0.086,-20.000,9.914,-40.000
0.020,10.000,-0.005,-17.721,10.005,2.279
0.030,10.000,-0.155,-16.906,10.155,0.815
0.040,10.000,-0.249,-17.283,10.249,-0.377
0.050,10.000,-0.340,-17.143,10.340,0.139
0.060,10.000,-0.366,-17.683,10.366,-0.539
0.070,10.000,-0.481,-16.605,10.481,1.078
0.080,10.000,-0.596,-16.389,10.596,0.216
0.090,10.000,-0.696,-16.360,10.696,0.028
0.100,10.000,-0.851,-15.569,10.851,0.791
0.110,10.000,-0.904,-16.453,10.904,-0.884
0.120,10.000,-0.948,-16.406,10.948,0.047
0.130,10.000,-1.124,-14.818,11.124,1.588
0.140,10.000,-1.181,-15.869,11.181,-1.051
0.150,10.000,-1.249,-15.597,11.249,0.272
0.160,10.000,-1.381,-14.733,11.381,0.864
0.170,10.000,-1.405,-15.701,11.405,-0.967
0.180,10.000,-1.530,-14.472,11.530,1.229
0.190,10.000,-1.592,-14.944,11.592,-0.472
0.200,10.000,-1.637,-14.978,11.637,-0.033
0.210,10.000,-1.773,-13.841,11.773,1.137
0.220,10.000,-1.863,-14.118,11.863,-0.276
0.230,10.000,-1.887,-14.656,11.887,-0.538
0.240,10.000,-1.938,-14.236,11.938,0.420
0.250,10.000,-2.006,-13.898,12.006,0.338
0.260,10.000,-2.156,-12.839,12.156,1.059
0.270,10.000,-2.154,-14.268,12.154,-1.429
0.280,10.000,-2.234,-13.254,12.234,1.013
0.290,10.000,-2.374,-12.429,12.374,0.825
0.300,10.000,-2.386,-13.594,12.386,-1.164
0.310,10.000,-2.518,-12.156,12.518,1.437
0.320,10.000,-2.551,-13.023,12.551,-0.867
0.330,10.000,-2.636,-12.309,12.636,0.715
0.340,10.000,-2.703,-12.321,12.703,-0.012
0.350,10.000,-2.730,-12.605,12.730,-0.284
0.360,10.000,-2.800,-11.991,12.800,0.614
0.370,10.000,-2.789,-12.709,12.789,-0.718
0.380,10.000,-2.926,-10.985,12.926,1.724
0.390,10.000,-2.905,-12.497,12.905,-1.512
0.400,10.000,-3.001,-11.118,13.001,1.379
0.410,10.000,-3.088,-11.012,13.088,0.105
0.420,10.000,-3.129,-11.334,13.129,-0.322
0.430,10.000,-3.167,-11.216,13.167,0.118
0.440,10.000,-3.237,-10.721,13.237,0.495
0.450,10.000,-3.248,-11.191,13.248,-0.471
0.460,10.000,-3.363,-9.930,13.363,1.261
0.470,10.000,-3.370,-10.905,13.370,-0.975
0.480,10.000,-3.424,-10.269,13.424,0.636
0.490,10.000,-3.470,-10.184,13.470,0.085
0.500,10.000,-3.461,-10.653,13.461,-0.469
0.510,10.000,-3.576,-9.181,13.576,1.471
0.520,10.000,-3.570,-10.290,13.570,-1.109
0.530,10.000,-3.575,-10.059,13.575,0.231
0.540,10.000,-3.634,-9.355,13.634,0.704
0.550,10.000,-3.701,-9.099,13.701,0.256
0.560,10.000,-3.692,-9.761,13.692,-0.662
0.570,10.000,-3.826,-8.091,13.826,1.670
0.580,10.000,-3.816,-9.425,13.816,-1.334
0.590,10.000,-3.814,-9.230,13.814,0.195
0.600,10.000,-3.915,-7.992,13.915,1.238
0.610,10.000,-3.953,-8.474,13.953,-0.481
0.620,10.000,-3.909,-9.234,13.909,-0.761
0.630,10.000,-3.981,-7.877,13.981,1.357
0.640,10.000,-4.038,-7.867,14.038,0.010
0.650,10.000,-3.995,-8.789,13.995,-0.922
0.660,10.000,-4.030,-7.869,14.030,0.920
0.670,10.000,-4.094,-7.397,14.094,0.472
0.680,10.000,-4.080,-8.088,14.080,-0.691
0.690,10.000,-4.186,-6.666,14.186,1.422
0.700,10.000,-4.169,-7.792,14.169,-1.125
0.710,10.000,-4.192,-7.257,14.192,0.535
0.720,10.000,-4.228,-6.979,14.228,0.278
0.730,10.000,-4.203,-7.502,14.203,-0.523
0.740,10.000,-4.210,-7.062,14.210,0.440
0.750,10.000,-4.263,-6.431,14.263,0.630
0.760,10.000,-4.298,-6.471,14.298,-0.040
0.770,10.000,-4.362,-5.987,14.362,0.484
0.780,10.000,-4.372,-6.412,14.372,-0.424
0.790,10.000,-4.311,-7.065,14.311,-0.653
0.800,10.000,-4.382,-5.567,14.382,1.497
0.810,10.000,-4.335,-6.669,14.335,-1.101
0.820,10.000,-4.444,-4.888,14.444,1.780
0.830,10.000,-4.358,-6.814,14.358,-1.926
