Time,Setpoint,Measurement,Output,Error
0.000,10.000,-0.019,20.000,10.019
0.010,10.000,0.094,20.000,9.906
0.020,10.000,0.274,20.000,9.726
0.030,10.000,0.309,20.000,9.691
0.040,10.000,0.499,20.000,9.501
0.050,10.000,0.596,20.000,9.404
0.060,10.000,0.739,20.000,9.261
0.070,10.000,0.806,20.000,9.194
0.080,10.000,0.963,20.000,9.037
0.090,10.000,1.094,20.000,8.906
0.100,10.000,1.163,20.000,8.837
0.110,10.000,1.246,20.000,8.754
0.120,10.000,1.432,20.000,8.568
0.130,10.000,1.466,20.000,8.534
0.140,10.000,1.649,20.000,8.351
0.150,10.000,1.717,20.000,8.283
0.160,10.000,1.843,20.000,8.157
0.170,10.000,1.964,20.000,8.036
0.180,10.000,2.066,20.000,7.934
0.190,10.000,2.208,20.000,7.792
0.200,10.000,2.261,20.000,7.739
0.210,10.000,2.349,20.000,7.651
0.220,10.000,2.505,20.000,7.495
0.230,10.000,2.612,20.000,7.388
0.240,10.000,2.675,20.000,7.325
0.250,10.000,2.780,20.000,7.220
0.260,10.000,2.889,20.000,7.111
0.270,10.000,3.072,20.000,6.928
0.280,10.000,3.178,20.000,6.822
0.290,10.000,3.257,20.000,6.743
0.300,10.000,3.314,20.000,6.686
0.310,10.000,3.421,20.000,6.579
0.320,10.000,3.590,20.000,6.410
0.330,10.000,3.707,20.000,6.293
0.340,10.000,3.728,20.000,6.272
0.350,10.000,3.868,20.000,6.132
0.360,10.000,3.963,20.000,6.037
0.370,10.000,4.108,20.000,5.892
0.380,10.000,4.197,20.000,5.803
0.390,10.000,4.231,20.000,5.769
0.400,10.000,4.390,20.000,5.610
0.410,10.000,4.433,20.000,5.567
0.420,10.000,4.534,20.000,5.466
0.430,10.000,4.664,20.000,5.336
0.440,10.000,4.726,20.000,5.274
0.450,10.000,4.896,20.000,5.104
0.460,10.000,4.981,20.000,5.019
0.470,10.000,5.056,20.000,4.944
0.480,10.000,5.136,20.000,4.864
0.490,10.000,5.211,20.000,4.789
0.500,10.000,5.317,20.000,4.683
0.510,10.000,5.439,20.000,4.561
